"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1h"
"TIMESTAMP","RECORD","BattV_Min","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot"
"TS","RN","Volts","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees","MJ/m^2"
"","","Min","Avg","Tot","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Tot"
"2024-04-03 12:00:00",0,12.51,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN",7.3,"NAN","NAN","NAN","NAN"
"2024-04-05 13:00:00",1,16.55,295.8,0,1.987,213,8.07,1.996,-17.85,0.7078947,1001.697,48.9,-9.39,-2.353,0.921,0.11241
"2024-04-05 14:00:00",2,16.61,276.7,0,1.098,123.2,92,1.098,-17.67,0.7869443,1001.494,54.5,-11.85,-2.112,1.201,0.99607
"2024-04-05 15:00:00",3,16.61,109.5,0,1.781,185.6,24.7,1.781,-19.89,0.7322221,1001.55,58.2,-17.17,-2.235,1.394,0.39425
"2024-04-05 16:00:00",4,16.81,39.4,0,1.605,187.6,35.52,1.605,-21.56,0.6908333,1001.534,65.5,-21.16,-2.422,1.503,0.14183
"2024-04-05 17:00:00",5,16.84,29.43,0,2.258,183.6,8.74,2.258,-22.19,0.6458333,1001.604,61.1,-22.26,-2.463,1.537,0.10595
"2024-04-05 18:00:00",6,16.85,20.08,0,1.525,185.7,65.62,1.525,-22.02,0.6486111,1001.633,63.3,-22.53,-2.536,1.543,0.07229
"2024-04-05 19:00:00",7,16.91,11.06,0,1.312,183.8,43.05,1.312,-22.22,0.6397222,1001.879,63.2,-22.7,-2.535,1.534,0.03981
"2024-04-05 20:00:00",8,16.9,4.061,0,0.924,186.4,53.56,0.924,-22.59,0.6,1002.09,59.3,-23.33,-2.54,1.587,0.01462
"2024-04-05 21:00:00",9,16.96,0.433,0,0.677,164.5,72.75,0.677,-22.49,0.6,1002.299,61.4,-23.53,-2.548,1.588,0.00156
"2024-04-05 22:00:00",10,16.98,0,0,0.785,186.4,68.65,0.785,-22.93,0.6,1002.314,61.5,-23.77,-2.563,1.591,0
"2024-04-05 23:00:00",11,16.94,0,0,1.008,178.5,74.98,1.008,-23.3,0.6,1002.265,62.6,-24.23,-2.596,1.607,0
"2024-04-06 00:00:00",12,16.98,0,0,1.547,238.5,66.54,1.547,-22.13,0.618611,1002.387,64.8,-23.29,-2.553,1.565,0
"2024-04-06 01:00:00",13,16.95,0,0,1.152,90.1,99.3,1.152,-22.9,0.5988888,1002.316,60.4,-23.23,-2.559,1.569,0
"2024-04-06 02:00:00",14,17,0.8,0,1.3,187.8,33.78,1.3,-23.59,0.5852777,1002.224,61.9,-24.23,-2.56,1.615,0.00288
"2024-04-06 03:00:00",15,16.95,5.336,0,1.697,188.9,12.53,1.697,-23.78,0.5630555,1002.135,59.6,-24.39,-2.573,1.61,0.01921
"2024-04-06 04:00:00",16,16.95,14.19,0,1.099,183.8,24.24,1.099,-23.56,0.5902777,1001.956,66.5,-24.19,-2.55,1.598,0.05107
"2024-04-06 05:00:00",17,16.97,32.96,0,1.164,172.3,73.16,1.164,-23.48,0.5966666,1001.792,58,-23.86,-2.54,1.593,0.11867
"2024-04-06 06:00:00",18,16.92,44.11,0,1.096,127.6,85.1,1.096,-22.92,0.6,1001.956,70.3,-23.22,-2.523,1.569,0.15881
"2024-04-06 07:00:00",19,16.88,53.39,0,0.943,200.5,71.46,0.943,-22.97,0.6,1002.005,63.4,-22.88,-2.514,1.57,0.19221
"2024-04-06 08:00:00",20,16.88,131.6,0,1.17,176.3,39.39,1.17,-22.58,0.6999999,1001.977,74.5,-21.51,-2.475,1.535,0.47378
"2024-04-06 09:00:00",21,16.87,275.1,0,1.101,182.1,91.3,1.101,-20.54,0.7955555,1002.065,63.3,-15.35,-2.282,1.374,0.99032
"2024-04-06 10:00:00",22,16.83,91.2,0,1.512,253.4,96.2,1.512,-20.1,0.7563888,1002.383,59.1,-18.01,-2.361,1.427,0.32838
