"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-03 11:19:00",0,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:20:00",1,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:28:00",2,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:29:00",3,2,0,0.175,77.9,3.9,0.19,22.75,2.6,1020.1,9.7,22.3,0.7,4.95,""
"2024-04-03 11:30:00",4,0.667,0,0.147,312.5,75.21,0.24,23.23,3.333333,1020.05,10.1,22.38,27.85,-27.07,""
"2024-04-03 11:31:00",5,0,0,0.102,76.72,2.193,0.11,22.7,2.35,1019.983,7.8,22.4,85.5,-89.9,""
"2024-04-03 11:33:00",6,0,0,0.112,71.78,2.011,0.12,22.6,1.983333,1020,7.1,22.43,85.5,-89.9,""
"2024-04-03 11:34:00",7,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:36:00",8,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:38:00",9,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:39:00",10,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:40:00",11,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:41:00",12,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:42:00",13,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:43:00",14,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:44:00",15,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:45:00",16,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:46:00",17,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:47:00",18,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:48:00",19,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:49:00",20,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:50:00",21,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:51:00",22,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:52:00",23,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:53:00",24,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:54:00",25,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:55:00",26,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:56:00",27,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:57:00",28,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:58:00",29,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 11:59:00",30,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-03 12:00:00",31,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN",7.3,"NAN","NAN","NAN",""
"2024-04-03 12:01:00",32,4.167,0,0.393,335.7,51.22,0.81,23.68,2.883333,1020,8,22.47,-2.3,-7.267,""
