"TOA5","SN6134_ClimatVUE","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1h"
"TIMESTAMP","RECORD","BattV_Min","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot"
"TS","RN","Volts","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees","MJ/m^2"
"","","Min","Avg","Tot","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Tot"
"2024-07-21 00:00:00",2270,13.48,58.16,0,3.662,19.99,6.521,3.662,8.74,8.441111,1005.59,75.3,9.26,-0.714,0.732,0.20937
"2024-07-21 01:00:00",2271,13.48,27.78,0,2.704,29.36,9.53,2.704,8.34,8.424166,1005.515,77.4,8.52,-0.771,0.763,0.10002
"2024-07-21 02:00:00",2272,13.48,20.73,0,2.531,24.55,7.722,2.531,7.99,8.406388,1005.47,80.1,8.13,-0.77,0.764,0.07461999
"2024-07-21 03:00:00",2273,13.48,26.98,0,2.592,28.52,18.01,2.592,7.634,8.43611,1005.267,82.4,7.792,-0.789,0.78,0.09711999
"2024-07-21 04:00:00",2274,13.48,44.32,0,1.59,31.72,48.07,1.59,7.479,8.511944,1004.943,81.9,7.706,-0.788,0.771,0.15956
"2024-07-21 05:00:00",2275,13.48,80.2,0,1.822,20.06,35.9,1.822,7.496,8.719444,1004.852,85.2,7.926,-0.774,0.767,0.28886
"2024-07-21 06:00:00",2276,13.48,116.6,0,1.57,15.77,14.99,1.57,7.516,8.859445,1004.505,85.7,8.24,-0.775,0.753,0.41969
"2024-07-21 07:00:00",2277,13.48,241.2,0,3.218,16.72,12.12,3.218,7.77,9.066111,1004.286,83.9,9.13,-0.817,0.734,0.8682299
"2024-07-21 08:00:00",2278,13.48,205.5,0,4.143,4.012,10.72,4.143,7.915,8.94361,1004.184,83.9,8.99,-0.725,0.738,0.7398099
"2024-07-21 09:00:00",2279,13.48,202,0,4.192,0.113,12.26,4.191,7.979,8.836666,1004.181,81.7,8.91,-0.704,0.751,0.7273499
"2024-07-21 10:00:00",2280,13.48,232.1,0,3.607,21.75,19.54,3.607,8.2,8.9325,1004.118,84.4,9.19,-0.724,0.729,0.83539
"2024-07-21 11:00:00",2281,13.48,231.2,0,3.54,3.797,21.21,3.54,8.8,9.097222,1004.054,79,9.92,-0.719,0.687,0.8324599
"2024-07-21 12:00:00",2282,13.48,324.3,0,4.552,352,12.05,4.552,8.9,9.185278,1003.83,79.8,10.57,-0.706,0.701,1.16745
"2024-07-21 13:00:00",2283,13.48,170.5,0,3.897,356.5,25.1,3.897,9.01,8.968055,1003.7,77,9.98,-0.724,0.719,0.6138399
"2024-07-21 14:00:00",2284,13.47,145.5,0,2.83,5.155,25.34,2.83,8.82,8.861944,1003.607,78.3,9.61,-0.74,0.742,0.52369
"2024-07-21 15:00:00",2285,13.48,139.8,0,2.474,27.11,21.08,2.474,8.73,9.054444,1003.407,80.8,9.54,-0.738,0.725,0.50344
"2024-07-21 16:00:00",2286,13.48,109.3,0,1.518,49.51,28.28,1.518,9.02,9.209444,1003.224,80.1,9.66,-0.725,0.719,0.39361
"2024-07-21 17:00:00",2287,13.46,84.7,0,1.403,33.47,27.57,1.403,9.28,9.499999,1002.964,84.1,9.97,-0.72,0.714,0.30483
"2024-07-21 18:00:00",2288,13.46,65.36,0,1.287,53.86,28.4,1.287,9.27,9.655833,1002.677,83.7,9.71,-0.716,0.716,0.23529
"2024-07-21 19:00:00",2289,13.48,46.98,0,1.325,38.46,22.86,1.325,9.24,9.688334,1002.578,82.1,9.65,-0.718,0.731,0.16913
"2024-07-21 20:00:00",2290,13.46,31.24,0,0.763,29.88,32.54,0.763,9.44,9.654722,1002.535,81.4,9.68,-0.714,0.729,0.11248
"2024-07-21 21:00:00",2291,13.46,19.38,0,0.8,44.41,61.8,0.8,9.51,9.647778,1002.588,82.8,9.68,-0.721,0.731,0.06975999
"2024-07-21 22:00:00",2292,13.48,16.24,0,1.543,62.26,21.46,1.543,9.17,9.911667,1002.743,86.5,9.35,-0.715,0.74,0.05844999
